I17PERIOD;I17TIMEST;I17SOLO;I17FUNCSYSTEM;I17PORTID;I17CLASSID;I17CFTYPE;I17CFID;I17CFREV;I17CFDATE1;I17CFDATE2;I17VALUE;I17CURR;I17FUNCTVALUE;I17FUNCTCURR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L320_2021_NO_11808/1;;Y10P;CZR_DEF_20220427185913_1;;20211231;20211231;72468,00;CZK;2915,28;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_12314/1;;Y20R;CZR_DEF_20220427185913_10;;20211231;20211231;-84842,19;GEL;-24276,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12406/1;;Z10R;CZR_DEF_20220427185913_100;;20211231;20211231;-2279,31;EUR;-2279,31;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12406/1;;Z20P;CZR_DEF_20220427185913_101;;20211231;20211231;3087,50;EUR;3087,50;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12416/2;;Z10R;CZR_DEF_20220427185913_102;;20211231;20211231;-529152,95;EUR;-529152,95;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12416/2;;Z20P;CZR_DEF_20220427185913_103;;20211231;20211231;35911,62;EUR;35911,62;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12473/1;;Z10R;CZR_DEF_20220427185913_104;;20211231;20211231;-41552,37;EUR;-41552,37;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12473/1;;Z20P;CZR_DEF_20220427185913_105;;20211231;20211231;15229,50;EUR;15229,50;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12490/1;;Z10R;CZR_DEF_20220427185913_106;;20211231;20211231;-14379,75;EUR;-14379,75;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12490/1;;Z20P;CZR_DEF_20220427185913_107;;20211231;20211231;11249,00;EUR;11249,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12678/1;;Z10R;CZR_DEF_20220427185913_108;;20211231;20211231;-17060,08;PLN;-3711,94;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12678/1;;Z20P;CZR_DEF_20220427185913_109;;20211231;20211231;32755,69;PLN;7127,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_12677/1;;Y10P;CZR_DEF_20220427185913_11;;20211231;20211231;41552,37;EUR;41552,37;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12794/1;;Z10R;CZR_DEF_20220427185913_110;;20211231;20211231;-809251,85;EUR;-809251,85;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12794/1;;Z20P;CZR_DEF_20220427185913_111;;20211231;20211231;1616002,50;EUR;1616002,50;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12815/1;;Z10R;CZR_DEF_20220427185913_112;;20211231;20211231;-79325,87;PLN;-17256,38;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12815/4;;Z10R;CZR_DEF_20220427185913_113;;20211231;20211231;-14141,72;EUR;-14141,72;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12815/4;;Z20P;CZR_DEF_20220427185913_114;;20211231;20211231;22178,61;EUR;22178,61;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_12815/5;;Z10R;CZR_DEF_20220427185913_115;;20211231;20211231;-7162,48;PLN;-1558,11;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13157/1;;Z10R;CZR_DEF_20220427185913_116;;20211231;20211231;-63460,21;EUR;-63460,21;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13157/1;;Z20P;CZR_DEF_20220427185913_117;;20211231;20211231;93309,95;EUR;93309,95;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13200/1;;Z10R;CZR_DEF_20220427185913_118;;20211231;20211231;-89403,53;BAM;-45711,30;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13200/1;;Z20P;CZR_DEF_20220427185913_119;;20211231;20211231;166788,10;BAM;85277,40;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_12677/1;;Y20R;CZR_DEF_20220427185913_12;;20211231;20211231;-15229,50;EUR;-15229,50;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13201/1;;Z10R;CZR_DEF_20220427185913_120;;20211231;20211231;-7055,57;EUR;-7055,57;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13201/1;;Z20P;CZR_DEF_20220427185913_121;;20211231;20211231;561,74;EUR;561,74;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13325/1;;Z10R;CZR_DEF_20220427185913_122;;20211231;20211231;-1173,75;CHF;-1136,14;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13632/1;;Z10R;CZR_DEF_20220427185913_123;;20211231;20211231;-140642,00;EUR;-140642,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13632/1;;Z20P;CZR_DEF_20220427185913_124;;20211231;20211231;96575,00;EUR;96575,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13639/1;;Z10R;CZR_DEF_20220427185913_125;;20211231;20211231;-298192,00;EUR;-298192,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13639/1;;Z20P;CZR_DEF_20220427185913_126;;20211231;20211231;190957,00;EUR;190957,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13672/1;;Z10R;CZR_DEF_20220427185913_127;;20211231;20211231;-4777,04;EUR;-4777,04;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13672/1;;Z20P;CZR_DEF_20220427185913_128;;20211231;20211231;10050,00;EUR;10050,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13673/1;;Z10R;CZR_DEF_20220427185913_129;;20211231;20211231;-104808,68;PLN;-22799,86;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_12795/1;;Y10P;CZR_DEF_20220427185913_13;;20211231;20211231;255019,35;EUR;255019,35;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13673/1;;Z20P;CZR_DEF_20220427185913_130;;20211231;20211231;209269,00;PLN;45523,94;EUR
